2025-03-15 21:50:10,202 - INFO - Processing repositories: jenkins, jira, spring, talendforge
2025-03-15 21:50:10,205 - INFO - 
Processing JENKINS
2025-03-15 21:50:10,207 - ERROR - Error processing jenkins: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,209 - INFO - 
Processing JIRA
2025-03-15 21:50:10,211 - ERROR - Error processing jira: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,213 - INFO - 
Processing SPRING
2025-03-15 21:50:10,214 - ERROR - Error processing spring: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,218 - INFO - 
Processing TALENDFORGE
2025-03-15 21:50:10,220 - ERROR - Error processing talendforge: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 22:00:46,369 - INFO - MySQL connection successful
2025-03-15 22:00:46,373 - INFO - Processing repositories: jenkins, jira, spring, talendforge
2025-03-15 22:00:46,376 - INFO - 
Processing JENKINS
2025-03-15 22:00:46,446 - INFO - MySQL connection successful
2025-03-15 22:09:32,109 - INFO - Epoch 19: Train Loss = 4.6055, Val Loss = 2.2892
2025-03-15 22:09:43,253 - INFO - Epoch 20: Train Loss = 26.4436, Val Loss = 2.5444
2025-03-15 22:09:55,462 - INFO - Epoch 21: Train Loss = 2.4158, Val Loss = 2.3547
2025-03-15 22:10:08,666 - INFO - Epoch 22: Train Loss = 2.2654, Val Loss = 2.2673
2025-03-15 22:10:21,066 - INFO - Epoch 23: Train Loss = 19.2418, Val Loss = 2.3223
2025-03-15 22:10:32,282 - INFO - Epoch 24: Train Loss = 2.2756, Val Loss = 2.3043
2025-03-15 22:10:43,522 - INFO - Epoch 25: Train Loss = 2.4006, Val Loss = 2.2938
2025-03-15 22:10:55,152 - INFO - Epoch 26: Train Loss = 2.2185, Val Loss = 2.2756
2025-03-15 22:11:07,088 - INFO - Epoch 27: Train Loss = 2.1853, Val Loss = 2.2694
2025-03-15 22:11:18,988 - INFO - Epoch 28: Train Loss = 2.1908, Val Loss = 2.1714
2025-03-15 22:11:30,294 - INFO - Epoch 29: Train Loss = 2.2183, Val Loss = 2.2578
2025-03-15 22:11:41,607 - INFO - Epoch 30: Train Loss = 2.1473, Val Loss = 2.2553
2025-03-15 22:11:52,962 - INFO - Epoch 31: Train Loss = 2.1427, Val Loss = 2.2412
2025-03-15 22:12:04,614 - INFO - Epoch 32: Train Loss = 30.9433, Val Loss = 2.2492
2025-03-15 22:12:16,168 - INFO - Epoch 33: Train Loss = 4.3141, Val Loss = 2.2433
2025-03-15 22:12:27,577 - INFO - Epoch 34: Train Loss = 2.1153, Val Loss = 2.2287
2025-03-15 22:12:39,025 - INFO - Epoch 35: Train Loss = 2.0879, Val Loss = 2.2185
2025-03-15 22:12:50,387 - INFO - Epoch 36: Train Loss = 2.0854, Val Loss = 2.2106
2025-03-15 22:13:02,166 - INFO - Epoch 37: Train Loss = 2.0369, Val Loss = 2.1993
2025-03-15 22:13:33,121 - INFO - Epoch 38: Train Loss = 2.8549, Val Loss = 2.1956
2025-03-15 22:13:54,484 - INFO - Epoch 39: Train Loss = 2.0579, Val Loss = 2.1945
2025-03-15 22:14:06,993 - INFO - Epoch 40: Train Loss = 2.0270, Val Loss = 2.1827
2025-03-15 22:14:19,888 - INFO - Epoch 41: Train Loss = 1.9935, Val Loss = 2.1722
2025-03-15 22:14:32,397 - INFO - Epoch 42: Train Loss = 1.9960, Val Loss = 2.1750
2025-03-15 22:14:44,851 - INFO - Epoch 43: Train Loss = 2.0045, Val Loss = 2.1781
2025-03-15 22:14:57,911 - INFO - Epoch 44: Train Loss = 1.9871, Val Loss = 2.1859
